,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,1c5fcdeeefca63a5c73083a52f533336,14,37,33,Городищи,2,39,100.2925,76.7375,307.7474
1,2021.07.01,2d1aa526bf9e7a530eb9e3da7baba60a,9,52,33,Городищи,1,37,350.9625,193.515,6271.245
2,2021.07.01,46f7cd903722d2fc6434d9e57926b1f6,15,37,33,Городищи,1,41,37.957497,,
3,2021.07.01,c57b89f72508e50435bed97c0b8a633d,13,77,33,Городищи,1,34,4.1650004,,165.01921
4,2021.07.01,990ed91b81261f4e2155188b3cc3c65f,16,77,33,Городищи,2,28,306.075,161.035,9943.521
5,2021.07.01,38b3577395bbabf5840c649981020ff8,7,66,33,Городищи,1,28,389.83,13.755,6336.3438
6,2021.07.01,ab6a1774b0f7c7b1f62ab859ed3c1049,8,37,33,Городищи,1,28,1579.8826,831.11,11232.603
7,2021.07.01,a3b300e55683636aaf9c3cc923bd5bc0,7,52,33,Городищи,1,33,557.63745,192.78,10608.614
8,2021.07.01,74958ba1c52b57dcd4ee3c1176461b15,34,52,33,Городищи,3,41,210.4025,139.86,10502.691
9,2021.07.01,f76aaf48858f190ed154da35378dea2e,4,31,33,Городищи,2,38,24.307499,24.185,375.69287
10,2021.07.01,5baf227fd4b0da56738ca908a93540be,1,77,33,Городищи,1,42,662.42755,348.67,3123.3193
11,2021.07.01,0d90798ade0977358a85bf7502fdbaf8,8,59,33,Городищи,2,31,1167.7925,585.09503,11737.099
12,2021.07.01,b13edf11a6979ec56ec77722f09088b7,9,63,33,Городищи,1,44,402.815,232.365,3234.8398
13,2021.07.01,612a8ccf3f477fa3c606146cce9a1450,6,74,33,Городищи,2,20,187.3725,164.8675,24998.033
14,2021.07.01,5158d92838d7927fb4b2cc35a4a64e33,7,77,33,Городищи,1,47,156.8175,71.7325,2011.5918
15,2021.07.01,40e8580edeb9acc14557d0a8a15b154b,2,32,33,Городищи,1,56,4.2525,3.6049995,
16,2021.07.01,8e34de6083977c47b537ee3bc5a22e35,26,77,33,Городищи,3,0,28.542501,13.1425,3.175638
17,2021.07.01,2ea03a6ef5dd4908b6e0d75cf88c25fa,12,52,33,Городищи,2,44,132.09,55.825,152.27974
18,2021.07.01,6521123d6dfc2217784b05384113d200,18,77,33,Городищи,2,29,113.207504,82.5475,32605.203
19,2021.07.01,fe9fa6e2ff55bbd1ea97f994268ae646,6,52,33,Городищи,1,30,15.854999,,
20,2021.07.01,bb96c6f2189f16abc06053f09ba562ae,18,77,33,Городищи,1,20,,,
21,2021.07.01,cbf6c8be53a1cc0eaf567df5f069c7ec,1,52,33,Городищи,1,33,96.985,72.45,10751.776
22,2021.07.01,b3efe5370e6d7e2286f1e41610819031,17,77,33,Городищи,2,32,25.0425,23.415,2026.8076
23,2021.07.01,23fd2d9594189e94a980d7f2e10aa65c,5,52,33,Городищи,1,40,1258.8624,788.39246,5249.9077
24,2021.07.01,17e6812afc65b8d33b2b4b63f605ee57,1,59,33,Городищи,2,50,611.0125,375.46252,1504.6582
25,2021.07.01,26774fe51c4a04caba4cdb90bf37f3e1,5,78,33,Городищи,2,50,414.68,189.4025,961.30884
26,2021.07.01,42424139b73728607af37182f29653f2,1,43,33,Городищи,2,32,65.432495,56.105,19137.662
27,2021.07.01,6f2c3c0f2f2b307967c3de5e596c3f9b,10,77,33,Городищи,1,44,168.0525,62.195,1597.3351
28,2021.07.01,acb04331936f49f216ff0ccc3c33f4f2,8,56,33,Городищи,1,49,185.11499,169.19,2578.8
29,2021.07.01,69e181c4c12cd59922e1026e33883863,1,37,33,Городищи,2,28,1691.6376,984.8825,51372.062
30,2021.07.01,84c5d7f68544a1512a7df03c23a403a0,8,78,33,Городищи,2,25,1038.9401,580.86,24242.385
31,2021.07.01,a7a140525d3cde7398288203a979d519,2,77,33,Городищи,2,49,162.085,50.469997,3323.7944
32,2021.07.01,c4a8ba938a5b47632bdc7318f58f3fa6,6,78,33,Городищи,3,57,908.11005,567.9975,1015.3192
33,2021.07.01,c64fdbf8cff74d2e5640d9545351b170,16,52,33,Городищи,1,50,7.77,,
34,2021.07.01,2607594ce611e765427a9fb21564e1ec,4,77,33,Городищи,2,37,653.0475,384.545,8581.391
35,2021.07.01,cdbcf4350ae7c9b589a0da300f2e7287,7,54,33,Городищи,1,23,227.27249,161.19249,30105.932
36,2021.07.01,73d71de12d43b55db36ee7cc3b2e32ed,2,52,33,Городищи,2,58,23.0125,7.0700006,
37,2021.07.01,90b55747a1e785b061fb39af19af7d4e,14,52,33,Городищи,1,26,32.3925,18.7075,2500.5186
38,2021.07.01,e8072e68538f6191995e9d9007899033,7,52,33,Городищи,1,37,47.967503,33.18,9070.922
39,2021.07.01,872cdb3a4ce3df28a3f7ed0a6e9444ac,9,43,33,Городищи,2,22,159.075,78.627495,51279.633
40,2021.07.01,a01509cce99d2b983af6687424d65af1,2,77,33,Городищи,1,39,1731.345,1470.0525,12200.293
41,2021.07.01,3714e1eaae8ced4b50db78dfcb50780c,9,43,33,Городищи,1,38,614.47754,505.3475,23422.184
42,2021.07.01,86a016a3579c8af6d7d5ee105317215b,3,36,33,Городищи,2,44,424.63748,115.2025,1819.046
43,2021.07.01,2181e45cfffd94e304742ab9bd732232,5,52,33,Городищи,1,55,5.1274996,,
44,2021.07.01,ca9ca9be1532ac8da678ee48dbab49fb,4,17,33,Городищи,1,27,784.175,402.0625,18226.23
45,2021.07.01,15464dd7b7134e444d00fd407c24824d,8,38,33,Городищи,1,21,34.37,28.140001,93091.81
46,2021.07.01,0ada588ff82c4c4838f89691c31e2189,16,11,33,Городищи,2,48,302.82,184.94,22649.557
47,2021.07.01,f839908e4cccf615364c318ff6dc7dac,7,77,33,Городищи,2,27,136.675,38.780003,4871.6533
48,2021.07.01,eecf0ebe4c4c4c4b3874f48504246c7c,2,77,33,Городищи,2,31,862.505,692.3875,14623.178
49,2021.07.01,1ec1f29e50f4b777ed03db8003824824,17,69,33,Городищи,2,48,31.762503,,3.1807618
50,2021.07.01,d6294d15cc8c272d9fd19d0c114d9a3b,8,78,33,Городищи,2,45,7.8400006,6.5625,3.1510258
51,2021.07.01,c7bd61cf05147d44e8ce76c3970ad31e,23,37,33,Городищи,1,61,470.6625,242.3925,2436.607
52,2021.07.01,94fc511a29814069246b1618784371e9,3,52,33,Городищи,3,46,7.2799997,3.2899997,
53,2021.07.01,af358d9bcf75737ce25a768dda0fdb8c,18,69,33,Городищи,2,24,195.59749,127.365,3817.5684
54,2021.07.01,31d61a4f86fbace2257464d91621fe62,7,61,33,Городищи,2,28,65.415,27.737501,24031.256
55,2021.07.01,f5d79e9a776b3c76dd6b3ff9eb14ed1b,2,78,33,Городищи,1,38,1958.5475,1197.3674,8064.1846
56,2021.07.01,a812dc9ac83621d4731ee722d7d348cf,4,52,33,Городищи,1,44,316.96,147.5775,904.1064
57,2021.07.01,40f291382e4c02bcf0e82e425efc34a5,5,77,33,Городищи,1,51,497.5425,320.005,154.52739
58,2021.07.01,f13a23db5a111e97f9ae3eb3afdd7665,21,52,33,Городищи,1,30,255.4125,121.607506,16523.873
59,2021.07.01,1f0b17cccdbd1889385e4454ee1d8876,12,52,33,Городищи,1,35,16.380001,6.9650006,750.76843
60,2021.07.01,0cb07a25ce439456389e26b3b33559e3,1,43,33,Городищи,1,42,439.5125,146.1775,106.21714
61,2021.07.01,086c8fc9716a70334875515b61322009,17,52,33,Городищи,2,47,18.462502,,
62,2021.07.01,679d5ac43371c8f63b24f4bf7afff547,1,77,33,Городищи,3,40,,,
63,2021.07.01,fb82f7bd30a7b4e9d5f88afaefdf091c,18,52,33,Городищи,1,37,547.48755,340.97,51694.31
