,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,74de9d6c11fee908bd6efec30a70e8f2,14,77,33,Кольчугино,2,31,1185.3275,522.7775,804.7317
1,2021.07.01,aa945c0e0dd359d42f84ff98873a6cc4,7,77,33,Кольчугино,2,39,502.74,187.79251,4130.7695
2,2021.07.01,4fe7efe21d25e8f515f3d57c8f5f0750,16,77,33,Кольчугино,2,45,8.855,7.5250006,167.14278
3,2021.07.01,1d1406faecabb498e57a0e3c71cb3919,1,37,33,Кольчугино,1,49,6.5450006,,3.2197263
4,2021.07.01,4ed154918710a0e3d1948c9d6ee69237,7,37,33,Кольчугино,2,49,947.6425,552.51,13626.525
5,2021.07.01,81fe4f3f50f4818913fc01e89b680ff0,43,77,33,Кольчугино,2,34,1322.9824,915.67,2121.9402
6,2021.07.01,6c2f674823c7ae87fcc5884a087fe246,29,77,33,Кольчугино,1,41,1157.485,482.9825,20635.734
7,2021.07.01,b299539300c0eab1cbe81a4248fc6077,7,77,33,Кольчугино,1,38,907.11255,457.0475,15597.796
8,2021.07.01,41a980cde962ea84f97a310684ae47f4,4,77,33,Кольчугино,1,28,722.1375,337.155,15917.059
9,2021.07.01,debc34828b87f86ae820ec4a82de2162,22,77,33,Кольчугино,2,32,965.5975,673.61,4593.4023
10,2021.07.01,f11f6cb03c7c3a7b0764bb124f8a4505,2,77,33,Кольчугино,2,31,1256.78,615.28253,38770.355
11,2021.07.01,1e086298ff9420f6289e179b353ec87b,16,37,33,Кольчугино,2,44,339.01,152.4075,383.72885
12,2021.07.01,4e1e91115f8c36e0d90ca9eb117aee3c,4,52,33,Кольчугино,1,53,331.345,196.1925,1612.7129
13,2021.07.01,aa24618e0b6a5fa05f8ac89ab2499e33,2,77,33,Кольчугино,2,25,42.927498,16.24,10994.13
14,2021.07.01,4399c02871f1f2d31fabb3bea22ab775,7,77,33,Кольчугино,2,34,240.2225,157.8325,18823.055
15,2021.07.01,0a7e34b8477682dd2a5e5e2ac3bb29ea,1,78,33,Кольчугино,2,22,10.079999,5.197499,5579.856
16,2021.07.01,0398dee0379670b123d007b2e868c146,1,37,33,Кольчугино,1,48,1272.5125,632.0125,1600.9875
17,2021.07.01,931ae22b151473fb8c07bee07185a6ed,14,77,33,Кольчугино,1,29,22.015,19.215,3605.581
18,2021.07.01,24725ec292c3cc8e611f7507b4c30c0e,9,77,33,Кольчугино,2,26,61.8975,8.522502,30262.225
19,2021.07.01,b5ea8be9013f007e0031502730dc9fcf,5,74,33,Кольчугино,1,33,217.21,181.1425,6435.1504
20,2021.07.01,772ddd32bb29e8deed927b2d98e38205,11,37,33,Кольчугино,1,60,99.2075,64.05,40.190186
21,2021.07.01,17b033a805b5c3d811fa65a3f5c4d190,19,77,33,Кольчугино,2,21,88.6725,26.7225,58010.11
22,2021.07.01,a1d326e03038ac156207f78b715d6dba,1,77,33,Кольчугино,2,45,28.2975,,3.1510258
23,2021.07.01,491dda67b600ff90befcc1c863a4c2d1,1,71,33,Кольчугино,2,47,130.2,73.7625,3.6852553
24,2021.07.01,5368aa2fc3e8ec3d5c30fe9d57310c65,13,77,33,Кольчугино,3,32,8.872499,,3.179736
25,2021.07.01,db61ee78867198c900eee611bceeb455,9,37,33,Кольчугино,1,52,50.855,24.325,3.1705077
26,2021.07.01,fb1ebf1e04922b2594635e646521d8f7,8,77,33,Кольчугино,1,37,81.567505,39.62,5595.1606
27,2021.07.01,8f400ab817bb24645112a717afbb9740,6,77,33,Кольчугино,1,33,32.1825,17.885,535.2139
28,2021.07.01,e033d38b0421504aba4e49c5422fbfc0,6,78,33,Кольчугино,1,43,2499.4724,1609.5625,5784.571
29,2021.07.01,e2c5dae26549df97b6e7d46ab3896690,6,77,33,Кольчугино,2,46,504.63,249.00749,2313.6965
30,2021.07.01,3a937fdbfc465b834dae68458a7d6ccd,10,32,33,Кольчугино,2,44,927.3075,320.6875,748.2624
31,2021.07.01,ed404dfbe62ac043378c480dec411925,12,46,33,Кольчугино,2,43,649.51245,368.6375,1829.2435
32,2021.07.01,fe69d2293ed88237a551e1e843181ff2,6,52,33,Кольчугино,3,28,6.912501,,
33,2021.07.01,cde619f6453d93a62459116e62f84c5b,5,77,33,Кольчугино,1,31,1003.64246,849.135,8838.107
34,2021.07.01,2e8f3a3e1e5b4f4f7022c9e50e236038,7,37,33,Кольчугино,2,40,435.085,263.1125,10983.534
35,2021.07.01,08a84cdeaed46bcb709e6344c84a0b77,2,77,33,Кольчугино,1,48,458.55252,341.25,1150.5272
36,2021.07.01,d54fa94a9dbd2b657ca355b81633cd61,5,37,33,Кольчугино,3,0,3.99,3.5175,10100.324
37,2021.07.01,90be0fa5bf62ff20c07be2f336249997,1,77,33,Кольчугино,1,38,,,101.1271
38,2021.07.01,7581cbc7e4d1302ae53fc8be1ae34eb3,7,37,33,Кольчугино,1,34,124.932495,87.6925,2260.97
39,2021.07.01,3595abb5729cb8ffa155a18cd3202597,7,77,33,Кольчугино,1,20,,,8.410257
40,2021.07.01,f46fb41cce088f967bdd0d964153e639,28,77,33,Кольчугино,1,28,571.0425,268.345,46687.46
41,2021.07.01,b9838bb1934c073247c4f6517e463e71,13,77,33,Кольчугино,2,28,318.43,95.6725,41010.324
42,2021.07.01,60e4180164be35de59ae68c5aa817273,1,35,33,Кольчугино,1,38,21.647501,5.0050006,48815.875
43,2021.07.01,d01933bd2d9220c3cac7e1009688d78d,1,78,33,Кольчугино,1,30,73.08,6.387501,3.8749535
44,2021.07.01,3214610ca8f2122e1d0d5d4a580465ae,3,37,33,Кольчугино,2,45,192.0275,,
45,2021.07.01,490757c8c08e66fff9e9dff5fa0faa20,3,77,33,Кольчугино,2,29,140.5775,45.43,20790.45
46,2021.07.01,fe91e49a6b01d62686a4a26f50926eeb,7,77,33,Кольчугино,3,43,504.35,151.13,2629.3599
47,2021.07.01,40c4dea9a8f79f078731bf5a1a6b1bc7,7,77,33,Кольчугино,1,36,,,8.145706
48,2021.07.01,bef85965ffe8b888e18bb3b82ca8f5ab,1,77,33,Кольчугино,1,35,17.832499,5.2150006,6372.162
49,2021.07.01,bdca36e169b36054764d61f0a3e3ed87,5,78,33,Кольчугино,2,48,24.430002,13.5975,926.7583
50,2021.07.01,cd7938ab7f9cc70b7b1d7a47a524ef8b,6,77,33,Кольчугино,1,26,870.1175,550.21747,57482.44
51,2021.07.01,d62fba6c1d69df7421abb301ba644906,1,69,33,Кольчугино,1,25,5.1975,3.5350003,11403.2705
52,2021.08.01,f1e3fb93925b865701184d8e0e777f43,8,69,33,Кольчугино,1,31,1048.95,750.365,26885.338
53,2021.07.01,676cbc166fe10792ba82d9681300546d,1,77,33,Кольчугино,2,47,470.97748,271.495,1531.0681
54,2021.07.01,5278ed28c4fbe7ed609e51ece7b106a2,16,77,33,Кольчугино,2,27,33.985,,
55,2021.07.01,7ae732f54891d76bcd84375ee954bb3e,14,77,33,Кольчугино,3,28,237.5625,5.985,75462.75
56,2021.07.01,748f1165c261a3ae6e720e6267ec046a,1,77,33,Кольчугино,3,36,998.9525,895.4925,1861.5249
57,2021.07.01,10d05f839958c4312ad5de640b129a3c,1,37,33,Кольчугино,3,0,63.2275,26.110003,27600.836
58,2021.07.01,eb5c034c5b863a28aeb6502892eac5fa,2,78,33,Кольчугино,2,47,1446.6375,887.81,10285.586
59,2021.07.01,4a5302807a06a955604a2eca7f843256,11,71,33,Кольчугино,2,46,5.1100006,,
60,2021.07.01,8829f4ea179d0d35a32b613eb832ac54,5,78,33,Кольчугино,2,29,3.6050007,,
61,2021.07.01,507100033b327cdcc5d3453ed6b60fad,1,44,33,Кольчугино,3,30,144.48001,12.565001,3.1602542
62,2021.07.01,52e5eda0f872662ccc4508c5d1fdfb49,18,37,33,Кольчугино,1,29,506.76498,304.95502,23473.295
63,2021.08.01,e46a03f5dea6056d0f5dd4f3d3a30a84,15,77,33,Кольчугино,3,29,26.477503,13.125001,2167.0032
64,2021.08.01,ba24028bbb82b3b0e0256178b7dffa90,8,78,33,Кольчугино,2,26,633.92,476.175,19846.35
65,2021.07.01,fe726d57ee4bda28e9f5058810b7af80,6,77,33,Кольчугино,1,26,160.1425,54.0225,29602.955
66,2021.07.01,dfa35d7ca91e5b62a4ca4edf2156089e,7,77,33,Кольчугино,2,42,469.54248,189.28,5532.138
67,2021.07.01,1b37b0218915e153080d70f462b24c7d,10,77,33,Кольчугино,1,37,882.2625,585.70746,34990.77
68,2021.07.01,1ee1274b9c84ede1b6385487150d8cdb,14,77,33,Кольчугино,2,37,286.94748,234.745,4933.5205
69,2021.07.01,b810072a5f9e4e072874768bf32aa8d9,5,76,33,Кольчугино,1,39,475.82498,378.2275,654.5714
70,2021.07.01,551914f632cc9c86b1e81f7325adf111,7,77,33,Кольчугино,2,49,136.955,83.895004,132.03032
