,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,38074baa1d216f597cf94cb866be459a,1,26,23,Курганинск,2,39,2242.73,1217.4225,2734.515
1,2021.07.01,ad7f396280b7e755c942548adf8a45b8,1,15,23,Курганинск,1,32,191.485,118.229996,
2,2021.07.01,c31090f9e1baca9a91cc0481de8ffec3,1,77,23,Курганинск,2,61,227.02751,92.15501,3.3191895
3,2021.07.01,9542598c322e241ade8fde66660b5c28,10,26,23,Курганинск,1,26,2245.4424,1160.1625,19286.676
4,2021.07.01,657a8aeca764fe110194d63f59ac4cf4,4,26,23,Курганинск,2,18,442.05,133.2275,41539.56
5,2021.07.01,9fa31705641f3f70b9c3c224d1ba670b,7,9,23,Курганинск,2,20,220.955,103.5475,328923.6
6,2021.07.01,a09aa1dc3545dbaaddd900e26070f32b,1,74,23,Курганинск,1,19,3.2200003,,2470.9001
7,2021.07.01,76b57454cc057ce50f004759edaddaf8,6,26,23,Курганинск,2,65,705.32,206.88501,
8,2021.07.01,12053f61d62022d28a0b4dee285e2d83,7,7,23,Курганинск,1,50,7.6474996,,
9,2021.07.01,cf8ce856110c9696310a7f156845175e,10,77,23,Курганинск,1,40,228.4625,84.50751,4155.1187
10,2021.07.01,c879fc4e1cf1c2c420b92577f719fa1f,10,26,23,Курганинск,2,58,75.2675,9.817499,137.19214
11,2021.07.01,76b660fc60ea954351b27d06ed1469a8,3,26,23,Курганинск,1,44,52.010002,28.28,5404.7446
12,2021.07.01,d6583f5605c900a6423d96cd96bde642,6,26,23,Курганинск,1,31,207.6375,118.3,439.7644
13,2021.07.01,833e7f25d52d1b5225e36ce3ffd0d50c,4,10,23,Курганинск,1,38,117.4775,84.80499,7263.4814
14,2021.07.01,c795d1d407f8d1a74ce68e6d64c747ee,1,26,23,Курганинск,2,17,40.075,5.2675004,3.890332
15,2021.07.01,883486b0dd736efedce042fd72693080,11,15,23,Курганинск,3,0,18.847498,16.694998,1268.6912
16,2021.07.01,a133377fef183e27dce719dba7476e94,1,15,23,Курганинск,2,45,125.965004,70.997505,
17,2021.07.01,6403e11c8b508bb63fb768b8046e850e,1,63,23,Курганинск,1,41,835.88745,541.3625,1514.0559
18,2021.07.01,d0165405518fbfee005e63379667e8e3,1,36,23,Курганинск,1,49,20.772501,6.4750004,
19,2021.07.01,d3ebbd6545144920c483fdd2ca0ac72b,1,58,23,Курганинск,2,41,209.4925,34.842503,3337.8022
20,2021.07.01,5a3b53fea5295f0dff69fc62a16ba9bf,7,26,23,Курганинск,3,66,70.0525,29.645,
21,2021.07.01,10637eee07c4516301abf62c10979af1,1,7,23,Курганинск,1,28,30.117498,7.314999,
22,2021.07.01,0c16b1c1d0a5d44f9abfb68778c7c86c,3,63,23,Курганинск,3,49,79.0825,3.6575007,
23,2021.07.01,518003bb31a017aae2b579b95bf9a6ab,1,7,23,Курганинск,1,26,5.9500012,3.4474998,
24,2021.07.01,d662d80d495eeb951c1797e3ef02b084,6,15,23,Курганинск,1,38,35.56,25.27,439.39423
25,2021.07.01,c68d0a4cd83f6f7183d831adfd048ec1,4,77,23,Курганинск,1,48,,,
26,2021.07.01,31e5f8af811db38d856d5773661d1325,1,26,23,Курганинск,2,24,143.98999,50.1375,763.43616
27,2021.07.01,9d6fd3155cd8a1d39c94ad6ba28d08da,1,35,23,Курганинск,3,38,970.7075,498.9425,28762.258
28,2021.07.01,e74ef38fd193625bb7396b314a5c1df9,1,7,23,Курганинск,2,38,390.0925,91.875,26393.414
29,2021.07.01,b641d92d3d2bfd76e55fdddd24a49c7e,2,73,23,Курганинск,2,24,483.56,347.6375,5066.254
30,2021.07.01,d19bdea76301f31bbf2d9e1bfb636474,1,7,23,Курганинск,2,39,566.2825,399.6475,3739.1597
31,2021.07.01,07a3840c82973d812ca7a3240f5a8a25,10,61,23,Курганинск,2,33,117.4075,85.417496,19559.473
32,2021.07.01,267df7def7a9d7f32c6a04b8e2031b41,1,77,23,Курганинск,2,73,179.0075,38.745003,
33,2021.07.01,28cb915940dd352bd76d053a04441a91,11,77,23,Курганинск,2,57,384.35248,215.18001,
34,2021.07.01,1c35256d423b6d5092804b24b9e977f5,13,7,23,Курганинск,1,36,475.8775,,
35,2021.07.01,4e7d272815d6b56f706773d0ba99e134,1,48,23,Курганинск,1,31,1723.3301,419.86002,10262.529
36,2021.07.01,7457e3b77f7c11ba9737f1104d369350,6,7,23,Курганинск,1,40,739.5325,381.39502,46757.945
37,2021.07.01,b761100584f2658387caa838cfcff995,13,6,23,Курганинск,1,32,652.47003,424.27002,2808.8455
38,2021.07.01,283885d90720f89ac372456cbde88c35,8,9,23,Курганинск,2,33,1627.8325,1115.485,20804.975
39,2021.07.01,265a2dd77ac367a21a9d12f06ffa9656,11,77,23,Курганинск,1,19,83.475,65.2575,54032.414
40,2021.07.01,a63efa1414a94ae23934620281de5132,5,66,23,Курганинск,2,27,784.35,203.68251,30986.143
41,2021.07.01,eb23fb752bee794d4c6633fafaa511e7,2,30,23,Курганинск,2,51,14.875,,
42,2021.07.01,679bc733a32c2252efbddbf603b5c879,1,61,23,Курганинск,1,45,482.8775,220.4125,5087.9194
43,2021.07.01,f627cd7b2f9c9674ebcc1ea4088b14ee,1,43,23,Курганинск,1,47,117.1975,5.5825005,113.410255
44,2021.07.01,1a59a5c686d63dced3b26f4c57e1ce22,10,26,23,Курганинск,2,57,1117.515,691.86255,
45,2021.07.01,81ee13eea2a788fcad2c0cc2c8af3caf,8,26,23,Курганинск,1,62,145.31999,78.6625,
46,2021.07.01,0002940c393ce26da1b50554213da8ad,1,61,23,Курганинск,2,54,3254.6501,1405.5825,2204.6995
47,2021.07.01,1dec95b19a0c593e71713062897f2c91,1,45,23,Курганинск,2,52,266.0525,4.3399997,
