,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,02eff69114d9e4468df9427c3bdfb26c,18,26,23,Лабинск,1,50,289.8875,64.697495,
1,2021.07.01,26cdee0a645cb2e599dc16881d3ffa17,8,77,23,Лабинск,1,51,221.795,118.9825,
2,2021.07.01,5cf150a7900c95b1d1ee8998153ba7db,1,5,23,Лабинск,1,37,962.1325,697.4625,28485.707
3,2021.07.01,7de7a00b5070f3c869d62c5cd49a707e,1,64,23,Лабинск,2,63,324.24,193.165,
4,2021.07.01,4cfcb3409923e3621f634d3d07ebb682,11,9,23,Лабинск,3,38,459.1125,267.365,45045.574
5,2021.07.01,e98061c84c48d455017fcab56c66972f,2,26,23,Лабинск,3,35,581.1225,314.58002,6882.8564
6,2021.07.01,1534011dada98399665f968442694109,5,26,23,Лабинск,2,57,472.9375,278.74002,
7,2021.07.01,350544aa3e8f625187edc7f029b65683,6,9,23,Лабинск,2,54,3528.6475,958.895,
8,2021.07.01,688a3254e5969b4a926e92d0ed394a32,7,77,23,Лабинск,1,42,92.085,52.0275,3160.9255
9,2021.07.01,399b99b6d4b7343accec77e9ed09bd45,12,9,23,Лабинск,2,23,717.115,369.0925,101467.41
10,2021.07.01,b8534856ed002d3cf5c8c383b706daf7,5,61,23,Лабинск,1,32,33.495,26.897501,12649.89
11,2021.07.01,9fa31705641f3f70b9c3c224d1ba670b,1,9,23,Лабинск,2,20,220.955,103.5475,328923.6
12,2021.07.01,6c38b7db43d66e8503b2dac16d917e31,8,20,23,Лабинск,1,39,610.19,207.98752,2026.9451
13,2021.07.01,4ec11696d02b43b8d45e5e2d6648d340,18,20,23,Лабинск,1,40,93.7825,43.5925,3.1530764
14,2021.07.01,6335c3a11d14d3815bde2ce79fb4de9e,15,26,23,Лабинск,2,56,133.0175,48.387505,8.862453
15,2021.07.01,1010ac15472f1c4f70e33e700d247666,2,26,23,Лабинск,2,32,1050.84,430.675,6806.997
16,2021.07.01,bdd056a1d6fedf3a61359d090f619373,2,9,23,Лабинск,1,63,2071.055,985.845,
17,2021.07.01,4c0b849e73bfa722d8570ba3828a4f91,22,26,23,Лабинск,2,35,1537.1124,811.00244,19553.098
18,2021.07.01,e978e598099a16a44cce309ca388ddb2,1,48,23,Лабинск,2,25,43.82,,
19,2021.07.01,d15020b7dcd61288c435bc9536c7b80a,6,9,23,Лабинск,1,29,10.062501,5.9150004,45711.254
20,2021.07.01,215d863467cc475d45e6d164177a7db5,1,78,23,Лабинск,1,22,,,
21,2021.07.01,87275c7f8aa6c7ff92e0486ceb1f10b4,6,26,23,Лабинск,3,0,23.87,16.134998,3.1510258
22,2021.07.01,3656547b74460ddaa78cb58425ba6326,5,15,23,Лабинск,1,33,492.94,208.285,45652.04
23,2021.07.01,396b072c0015df2c7c392d479e2c94e7,1,63,23,Лабинск,1,37,441.71753,299.94998,10673.324
24,2021.07.01,018580084002834863797bfc8d383d81,1,26,23,Лабинск,1,33,1222.0074,868.22754,34403.21
25,2021.07.01,e5a736bc804765c96a5102f0032789ae,10,9,23,Лабинск,1,57,243.845,123.725006,
26,2021.07.01,0a0885e25076e82485b5e10373f59041,1,35,23,Лабинск,1,41,48.194996,26.984997,7969.7305
27,2021.07.01,0f62637addcebb6fc242e3006d2f3477,12,9,23,Лабинск,1,50,485.3625,274.40002,
28,2021.07.01,bf6d432b837933b22b09e94de4e9f132,1,9,23,Лабинск,2,49,720.08997,400.4875,900.2848
29,2021.07.01,bb3ca0fb1911892040db6c6a7b40f94d,7,9,23,Лабинск,3,32,41.405003,15.959999,1333.7983
30,2021.07.01,3166084b9715cb5203165ec09b26d7b3,22,20,23,Лабинск,1,21,,,11.65664
31,2021.07.01,bbbc987dde9abfa50d56a0990b0bcd0a,9,9,23,Лабинск,2,42,1624.98,723.695,29557.814
32,2021.07.01,815ab72f640560e8dbb1c3670cb519bc,1,7,23,Лабинск,1,53,1117.97,553.64746,18297.604
33,2021.07.01,634fe7b21023cf4edb0b43e020e3f194,2,77,23,Лабинск,1,36,5.4775004,,
34,2021.07.01,4ef9a2745692776ce8883c5dce3cb80f,2,9,23,Лабинск,1,28,622.79004,339.605,60874.72
35,2021.07.01,20761913ee115e6a697bf39765a96305,9,26,23,Лабинск,2,33,,,1130.7495
36,2021.07.01,98abd445e902fcd7388ea8d3bfe9f517,4,26,23,Лабинск,1,33,167.58,,
37,2021.07.01,eb23fb752bee794d4c6633fafaa511e7,1,30,23,Лабинск,2,51,14.875,,
38,2021.07.01,f193b47a748fa86472bb1d93d9da46fb,1,31,23,Лабинск,2,40,819.735,482.9825,1440.842
39,2021.07.01,f0bb5bc10015316bd81b0abbfb52e596,1,20,23,Лабинск,2,32,2126.3726,757.13745,35333.49
40,2021.07.01,20f76ff60e6ad4e471fca66efdd04488,5,78,23,Лабинск,3,40,239.47,121.4675,4651.375
41,2021.07.01,036b0e01cdbc443e5eccd46c691f9977,5,20,23,Лабинск,1,42,20.8425,,
42,2021.07.01,6e135bb6b50187da3ce2d7c4e8a040e7,1,67,23,Лабинск,1,29,7.717499,3.6925004,3.262793
43,2021.07.01,9617046533f1e12b91de469c2e193a90,4,77,23,Лабинск,1,26,41.562504,20.405,18230.852
44,2021.07.01,de346578963b22f40584325c93278a93,6,33,23,Лабинск,1,47,1248.1176,885.5,373.66464
45,2021.07.01,3fba3140a6dff3c586405b797e6fe5d3,2,46,23,Лабинск,1,39,89.494995,48.475002,300.98187
46,2021.07.01,ac0e017aeaea4ecd3338223e1b882f3b,2,34,23,Лабинск,1,46,154.4025,92.4,
47,2021.07.01,cf3782ca7acf104fd73493e110217857,2,2,23,Лабинск,3,0,4.0600004,,6507.087
48,2021.07.01,b19cf9a0b76ec7e4c679492878d0c734,1,16,23,Лабинск,3,0,199.4475,107.18749,1002.8474
49,2021.07.01,14aa4532ad2ca307326e4585f9169e6c,10,26,23,Лабинск,2,43,36.260002,13.440001,1517.574
50,2021.07.01,5d422b8977fc53614ac5b9055a7abefd,6,2,23,Лабинск,2,35,423.5525,115.622505,6103.0215
51,2021.07.01,f40cfd0365e1cc17842160b195a30f68,3,77,23,Лабинск,1,32,151.445,17.009998,20773.76
52,2021.07.01,4b9cf0c141eee67bf0b533aef5537743,19,7,23,Лабинск,3,32,933.765,626.6925,7400.3457
53,2021.07.01,64a86e96e33828b59f1bb1649b2af3f3,1,63,23,Лабинск,3,0,,,3.1643555
54,2021.07.01,8c7146722191cac05daaba8225086758,7,26,23,Лабинск,1,58,332.0975,195.335,3.6832037
55,2021.07.01,6bc05b51a638a36961e5b2ded10f50ec,10,26,23,Лабинск,1,18,1009.505,934.045,103804.66
56,2021.07.01,717598c833497848f16b9e176fc21b8c,3,31,23,Лабинск,3,0,12.8275,3.1849997,1627.7748
57,2021.07.01,8e154755afcaacb9f01ffebdc54be458,4,26,23,Лабинск,2,48,8.469999,,
58,2021.07.01,5199fc06e451da64899af16c1028c476,1,15,23,Лабинск,2,39,1046.01,556.185,90026.02
59,2021.07.01,0923484d8f938e7fb9fd088e55fdeac1,6,26,23,Лабинск,1,32,1320.6901,938.27997,16852.836
60,2021.07.01,a8f1d73e5517639a1db95eca28014c52,6,9,23,Лабинск,2,43,485.345,267.85498,39316.516
61,2021.07.01,636917e3902a73e35dfdf30529ff2c8a,1,26,23,Лабинск,1,40,935.76,349.72,7043.4043
62,2021.07.01,e45600778ce1bec7a149271094ec6ec7,1,9,23,Лабинск,2,31,1320.13,712.39,19135.816
63,2021.07.01,0f9886e0d88a9896df04d6bfd05c88c5,3,77,23,Лабинск,3,52,8.190001,,11.931445
64,2021.07.01,590a52a4b78feda9fe1fa4718cc999ce,9,38,23,Лабинск,2,55,253.575,205.0825,
65,2021.07.01,0abda7304ea6d7051a2350de0d120f75,11,34,23,Лабинск,1,55,149.0475,95.340004,
66,2021.07.01,3425eb801ba33502b7d149ee14f899f2,2,26,23,Лабинск,1,38,1145.7075,560.245,10108.202
67,2021.07.01,92db3c22ace2a43180afcb95cdd05be4,28,9,23,Лабинск,3,27,1504.4924,808.5,27558.654
68,2021.07.01,8b553f00194344022c250428554fea17,1,9,23,Лабинск,1,39,51.065,5.4774995,15247.326
69,2021.07.01,cc845fc78fdf3b223f01fd6807a8c2cd,6,30,23,Лабинск,1,26,21.647501,13.545,642.0381
70,2021.07.01,b54753b50c1b6bf9e5d73822375168eb,7,26,23,Лабинск,2,41,487.165,332.78,3386.208
71,2021.07.01,eda8e43ca6ae5233f6b82e4e132972d9,3,26,23,Лабинск,3,35,990.85004,411.845,13306.334
72,2021.07.01,74366e5efd5ff740149f5bc11fd67686,3,76,23,Лабинск,3,54,1867.425,1092.1575,5286.34
73,2021.07.01,9926d9b4b7b241b47e3f1e64eb548161,1,61,23,Лабинск,1,58,390.6175,247.8875,
74,2021.07.01,2f754d436af28d80f19c0181979d7042,1,61,23,Лабинск,1,52,117.810005,26.897501,
75,2021.07.01,969265a5bac6c09a2f52dd44a2f96337,15,26,23,Лабинск,1,48,108.4475,50.82,18.19248
76,2021.07.01,c101858057f64ef90ba35aeb72ee9555,13,63,23,Лабинск,2,40,757.6275,346.885,5219.355
77,2021.07.01,4e09d7f3cdc38feb8db7716e7554e7c0,7,61,23,Лабинск,2,24,573.2475,315.49002,106992.516
78,2021.07.01,a6a4ac195a328ce24a18417ab1bd41e5,10,15,23,Лабинск,1,36,286.405,191.45,2283.552
79,2021.07.01,1948471c068b97373240e15af96b9054,5,9,23,Лабинск,1,46,1691.27,1064.245,4186.025
80,2021.07.01,caddb9cabc913f8b7b8d569aa33ebee8,30,26,23,Лабинск,1,23,390.35498,187.11,37657.17
81,2021.07.01,465624d64b6387f071724278c48013f3,14,20,23,Лабинск,1,38,465.85004,295.52252,
82,2021.07.01,b8bbe97152b9852a103e275db5631f78,2,26,23,Лабинск,1,44,667.93994,252.56,382.22153
83,2021.07.01,d41ddf40175a415d50764617602e69d2,9,26,23,Лабинск,2,41,1043.28,454.99997,11711.802
