,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,94a81f6122c66afe4384cbcdbb6d940b,1,77,33,Меленки,1,28,63.192505,32.1125,3758.965
1,2021.07.01,f74375105a816605cf00c0cba82ee0c1,16,52,33,Меленки,1,55,235.68999,151.00749,
2,2021.07.01,0a57fdef1a3c99832057584f33664823,1,31,33,Меленки,1,25,949.35754,842.2575,20425.512
3,2021.07.01,26fff1e54a0a28e87cc3b4b9624c4e9d,2,52,33,Меленки,1,39,250.355,134.47,22789.105
4,2021.07.01,68890c61780601c33691b5c79070e4b1,1,34,33,Меленки,1,46,443.1875,237.5975,1371.3523
5,2021.07.01,66c43cce6a5d2cf8b0b7ce5ace9bb1fc,14,52,33,Меленки,1,26,1992.9176,1096.3575,31961.148
6,2021.07.01,0f5ef16350c0b5edf84cbfc827b51d47,6,77,33,Меленки,2,39,790.54504,514.22003,7634.707
7,2021.07.01,f89320ba67076f1dc6a8707eef08a002,1,52,33,Меленки,1,34,351.7325,112.035,8263.333
8,2021.07.01,0fd0d46aa0b20a67a39b31704d7cdbe9,14,36,33,Меленки,1,47,843.115,457.2225,4365.169
9,2021.07.01,6db4cc1c0f660fb88d401db07f0a733e,5,77,33,Меленки,2,31,456.155,342.2825,32706.916
10,2021.07.01,a1eb7c5d5c67af8924a093fd13726e25,18,37,33,Меленки,1,34,2133.25,1280.0725,95461.375
11,2021.07.01,c6a785f8e48e1cd121b9bbb23de38c80,1,21,33,Меленки,1,27,848.9425,489.07248,16497.053
12,2021.07.01,c2f29c68d94363678d2094d479635416,1,37,33,Меленки,2,30,47.757504,30.835001,668.5875
13,2021.07.01,6bc5efc4269216830d953d6355f8b414,17,77,33,Меленки,3,0,7.9624996,,963.60364
14,2021.07.01,f0d05ee48a724b1c674c33f3521640f4,25,52,33,Меленки,1,40,974.12,448.6825,18434.965
15,2021.07.01,d01156cbb4cf733aef625f0a6f2482fb,18,5,33,Меленки,1,34,732.14746,381.5525,1198.9883
16,2021.07.01,0721d692d14548fb4ffe9411eac9e52b,13,51,33,Меленки,1,54,606.0775,332.63998,167.49962
17,2021.07.01,fdeb6a97fbb26e6b593115d813da5132,14,52,33,Меленки,1,68,145.91501,72.537506,
18,2021.07.01,250241795111400411ed2d8a41e4e4a9,9,34,33,Меленки,2,33,273.175,166.81,4510.7817
19,2021.07.01,d15714fab0e1c3c9a072b929c0a975fc,6,34,33,Меленки,1,48,,,8.0605955
20,2021.07.01,40b8cd8fe298c61182dc02678fd8f69b,4,68,33,Меленки,1,45,475.685,301.035,38096.586
21,2021.07.01,47f2e8da4f226fd8029788bb3dea9ebc,15,52,33,Меленки,2,47,,,
22,2021.07.01,42d0f8235d69ee06152f9b2afda562c1,15,52,33,Меленки,1,33,473.23502,190.69751,122864.766
23,2021.07.01,563b169c76fa38ab0000444b7d850420,1,12,33,Меленки,2,49,775.51245,365.505,601.88995
24,2021.07.01,19b11edab1f38f2e5fd0c11f595f311c,8,52,33,Меленки,1,41,453.63498,246.99501,20318.967
25,2021.07.01,077d3f641dbe9c57a9d5ef6a5cea6a67,1,78,33,Меленки,2,35,286.965,100.5725,19314.77
26,2021.07.01,9db6dd729ba4634d21e7235fb05f54a4,2,77,33,Меленки,2,40,66.3775,29.0325,1768.9023
27,2021.07.01,f35b44d10fa08c57781eb07389246526,6,52,33,Меленки,2,35,933.01245,416.3425,9701.5205
28,2021.07.01,09e80cb679b571d0f53c6e91a22812ac,6,78,33,Меленки,1,38,143.045,75.284996,9813.674
29,2021.07.01,6a05bf6a38e03e3a959a27b401fe1be0,16,62,33,Меленки,1,34,38.57,,3.2053719
30,2021.07.01,6742e52b292ecaf069d2a2afa17006a8,21,52,33,Меленки,1,35,,,
31,2021.07.01,cc7700cb645e0c6168fa2b1b1f85a712,12,62,33,Меленки,1,39,575.47,222.8625,24651.81
32,2021.07.01,fb82f7bd30a7b4e9d5f88afaefdf091c,8,52,33,Меленки,1,37,547.48755,340.97,51694.31
33,2021.07.01,d90ce1a154996db9e8b8ceb8af5b3644,2,52,33,Меленки,1,25,46.112503,,
34,2021.07.01,50e5db34083ebc1ff0f2838e84ba18f1,1,52,33,Меленки,1,22,1361.8324,754.425,26228.287
35,2021.07.01,1ff9d70b4069a868666b110d2f97b023,4,52,33,Меленки,2,43,722.995,458.5875,2827.2244
36,2021.07.01,bbf88f970f4dc68cd537d1e5b44c19be,11,77,33,Меленки,2,22,,,
37,2021.07.01,5127e4a53f98267c74fc66cb3f757275,5,77,33,Меленки,1,36,38.010002,,
38,2021.07.01,d8fcd09aec9f645bd08be1e35cba5be5,1,52,33,Меленки,1,41,5.4424996,5.4424996,154.04443
39,2021.07.01,6c24d971f63c000298daace2e1a1b925,17,23,33,Меленки,1,30,948.9375,612.6225,10430.625
40,2021.07.01,b13fc967cd04ca2339fe6f787d5943f2,4,62,33,Меленки,3,42,91.7875,31.115,3127.7048
41,2021.07.01,dea148c986e2bdd95dd53e73e8133b97,7,48,33,Меленки,1,38,966.1925,550.6375,1906.7631
42,2021.07.01,ca06b701756569071287108a429239d5,9,77,33,Меленки,2,23,49.2975,38.9025,246978.06
43,2021.07.01,7795628485bdc3604097fc7999f74f71,3,77,33,Меленки,3,0,86.205,43.172497,26.516605
44,2021.07.01,cc9707e3151bf7732c9c8118b6665d55,11,77,33,Меленки,2,36,1327.97,546.27997,18603.88
45,2021.07.01,26f7061ca09f263c41d643520941880d,12,52,33,Меленки,2,38,180.32,92.96,7225.2305
46,2021.07.01,d32fe5100f6a949c0a94ce4b46898a17,1,29,33,Меленки,1,48,286.79,193.13,20499.799
47,2021.07.01,ae3d065274953bca49dd549a44c39fe4,1,52,33,Меленки,1,28,67.917496,32.515,12622.128
48,2021.07.01,53119e9451f791a38cf0a1df6da988cb,10,43,33,Меленки,3,0,4.3224983,4.042499,3.1510258
49,2021.07.01,f58b1379b0ca61a86d36fa958119f037,6,23,33,Меленки,2,29,7.9624996,,1491.2666
50,2021.07.01,0e41918d95a97cb797d9f2e249dcdf63,10,36,33,Меленки,2,34,1344.1749,662.795,9259.205
51,2021.07.01,880a3c2860063f42e095e56c9b36c8a2,4,62,33,Меленки,1,36,220.41249,124.53,8608.67
52,2021.07.01,7a734709f3f6814a681032fb24ef0fd7,9,77,33,Меленки,2,41,8.382501,3.9375,303.23468
53,2021.07.01,10abe3d79736a936e54b38c4b3d746b1,22,77,33,Меленки,2,48,1092.385,864.8325,5121.377
54,2021.07.01,21ae84a3e5ae93949e5c258364189b7e,1,52,33,Меленки,1,45,,,44.52553
55,2021.07.01,09b5345d65b3d40f41b6330883c55eea,1,34,33,Меленки,1,51,1187.515,483.06998,91.84629
56,2021.07.01,71a2d607832ae8807cd849e8b6cc7a9a,2,77,33,Меленки,1,36,1543.4824,998.27,521.0697
57,2021.07.01,db2254152c54c5b1b414c56049b1f131,14,62,33,Меленки,2,36,1983.3975,1104.495,2234.514
58,2021.07.01,a751aca88b7f918719b26d208832800f,7,52,33,Меленки,2,52,613.02496,296.1,6573.3394
59,2021.07.01,a9a5284acf7c94b915d47bcb6cb6edee,14,37,33,Меленки,1,35,12.46,5.705002,2934.3645
60,2021.07.01,dca2e543df971cdb60fbceac6d80c8a3,2,52,33,Меленки,2,38,41.632496,,
61,2021.07.01,3bda4176f36c40515d69b99f50832526,11,21,33,Меленки,3,0,70.455,53.6025,2769.251
62,2021.07.01,3afd36d0210dee0df8d2df49a79ddf9e,6,71,33,Меленки,2,34,118.247505,50.767498,6029.4536
63,2021.07.01,3a4681f6f6d6fa9d5acebdd68bf5f4a6,1,73,33,Меленки,2,43,22.995,14.367501,2427.445
64,2021.07.01,f8f1df6f2d998de75004ebeddb6127bb,3,52,33,Меленки,1,40,632.0825,338.905,3200.9353
65,2021.07.01,8432e8130b279eb69fdaceac88008bde,13,62,33,Меленки,1,37,442.68,215.59999,2342.6382
66,2021.07.01,97061f7bf6ce593e9dd41a7973f6b5ba,2,52,33,Меленки,1,37,39.6725,15.9075,477.6403
67,2021.07.01,5d7cddc0d6fb3131ec79635df918146e,7,52,33,Меленки,1,49,9.45,,
