,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,67f2696dfa0a3fc987621d78801906f5,4,77,10,Сортавала,2,44,438.6025,159.845,2623.4065
1,2021.07.01,2b9bd5075bf60bcbc09d08f1c48d5f30,8,77,10,Сортавала,2,38,400.6625,224.455,1754.7079
2,2021.07.01,0654e4d801961a52b90881bc44dcedd1,2,78,10,Сортавала,2,53,729.82,341.74002,2653.7603
3,2021.07.01,44c983132b3b6ab8ec07c97d5eb625d6,6,78,10,Сортавала,2,58,746.48004,414.5225,5542.6763
4,2021.07.01,fde14165ca10470a76a70bbb046031ad,4,67,10,Сортавала,1,48,69.2475,19.53,3.156152
5,2021.07.01,3c85cf1a88a424c7661714c7be2593cd,7,78,10,Сортавала,2,32,3220.6125,2166.5698,25216.229
6,2021.07.01,65a9fe146d0ca6164b1e2b7ca193916f,6,78,10,Сортавала,3,28,517.79,305.305,11243.934
7,2021.07.01,e69b104205c160af8e7597dbb4997276,4,77,10,Сортавала,2,35,323.1025,122.5525,16050.868
8,2021.07.01,ffada13557e23a8c43359c402c2d3eb2,16,77,10,Сортавала,2,27,14.805,13.3525,6631.3765
9,2021.07.01,625c79bb109bdd769e5ea79bf8b30198,1,78,10,Сортавала,2,48,13.597499,7.9275002,1253.9994
10,2021.07.01,d2a5ae442db7d99aecc03279a78b0558,8,77,10,Сортавала,1,37,250.915,177.5025,8521.224
11,2021.07.01,43ebd627f6ab69e2b2086ee82cca8117,11,78,10,Сортавала,3,45,561.12,308.385,3524.6028
12,2021.07.01,fb52aecdcae3cc7ae357b4d631e5b883,9,77,10,Сортавала,2,38,396.1125,273.0175,10799.1455
13,2021.07.01,fc68953e95de38c23019aeb473d88678,1,78,10,Сортавала,1,41,106.95999,77.735,4709.213
14,2021.07.01,f429e1801b9771b4bc092b697258df2b,1,78,10,Сортавала,1,37,1916.5475,1217.1599,6970.7407
15,2021.07.01,5804265a86366640394f59d2ee5bb8b4,3,71,10,Сортавала,1,46,3.6925004,3.6925004,29.712746
16,2021.07.01,435554de0fa42f3964e01a8518871419,5,77,10,Сортавала,1,26,1296.8025,640.115,59251.527
17,2021.07.01,564e672e03e7fe9a075c6a9136731abe,7,77,10,Сортавала,2,46,472.535,184.1875,331.55185
18,2021.07.01,178f752745278fb16cad178462aae645,5,77,10,Сортавала,1,25,341.66998,184.73,28213.799
19,2021.07.01,7c9b51cb729a023b1a9f66e5b4c37555,1,77,10,Сортавала,2,27,6.5800014,4.5850005,7437.477
20,2021.07.01,c242651133a926b7cf4c9b394f3634db,12,77,10,Сортавала,2,46,63.21,61.4075,5852.7144
21,2021.07.01,0c64baa2de602540bca1f0986c16d8c4,2,77,10,Сортавала,1,47,3.6574996,,17.174267
22,2021.07.01,6fff17828bd99a8d7cf39fcd4559fd47,1,24,10,Сортавала,1,31,196.7525,167.9475,7933.8296
23,2021.07.01,3b1c76cb9c499a01e2f62a3ec3d7c289,1,63,10,Сортавала,1,48,19.74,8.12,
24,2021.07.01,31ef92bcb6a812c3ca3b68af439fbe95,1,43,10,Сортавала,1,39,14.56,,
25,2021.07.01,bef6af30244f8383734da4e7c4ca9373,3,77,10,Сортавала,2,47,362.56503,175.84001,1057.3264
26,2021.07.01,63155e6d633a2b9999c4681cb6153100,3,78,10,Сортавала,1,46,295.1375,217.105,6005.601
27,2021.07.01,109b214730b91b3af1f350c21f2baee6,2,77,10,Сортавала,2,34,187.1625,73.92,12794.413
28,2021.07.01,6517b3da88b0958239195df344c79e15,3,77,10,Сортавала,3,43,1040.1475,810.84503,4116.3916
29,2021.07.01,f30a4ce464ef606ec41394db9d85d4b3,1,52,10,Сортавала,2,35,1127.9974,713.66754,2296.6914
30,2021.07.01,68ba320c19b8441de4a1768808fd0ea5,13,77,10,Сортавала,2,27,1357.86,734.2125,36970.305
31,2021.07.01,3a247c535cdc5790edace6ac16795930,1,77,10,Сортавала,1,48,,,
32,2021.07.01,5ee62cda9413c744f1a6d3d5942470d2,7,53,10,Сортавала,1,41,223.7725,138.565,25127.848
33,2021.07.01,fe2fad294f507d6dc888cf9223a37d42,3,77,10,Сортавала,3,35,403.1125,138.87999,105286.734
34,2021.07.01,5543bac6fd4c14c9a7ad05aaf124a854,1,74,10,Сортавала,1,49,450.37997,136.2025,4447.407
35,2021.07.01,b10baf6de9a33bcdf78ef0196de1cfea,3,77,10,Сортавала,1,45,194.285,106.47,
36,2021.07.01,4a45c8577787ca14db10066df64e4322,1,77,10,Сортавала,2,43,11.900001,3.7450004,3.1510258
37,2021.07.01,8d37fa0141e6e2e82aa6c7354e79761b,3,77,10,Сортавала,1,45,6.7024994,6.7024994,
38,2021.07.01,474afaa39d2b7b0264e87fddbbb91324,10,77,10,Сортавала,1,43,182.49,66.4825,2727.257
39,2021.07.01,a361f1d46c2f79bb142b71995cbdfea2,6,78,10,Сортавала,1,41,270.025,213.97249,3538.5862
