,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou
0,2021.07.01,7c396880b75a808bef4a2dea3fc6224b,7,29,33,Струнино,1,39,385.1575,171.71,6233.0737
1,2021.07.01,43266d69d7df5ca14015509fe4b5c932,1,29,33,Струнино,2,39,738.9025,328.86002,7179.3125
2,2021.07.01,ae2c971efdcf07f9ddf59ff5ec1ffc35,5,77,33,Струнино,1,47,,,7.094682
3,2021.07.01,ab722e943d582014302c9752ca366228,2,35,33,Струнино,1,35,148.47002,128.6075,7263.612
4,2021.07.01,b642b20162376bc8802501c0e06d25d6,14,77,33,Струнино,2,45,59.079998,37.170002,3.1612792
5,2021.07.01,f964bc29328c10c929928e2e49537429,1,77,33,Струнино,1,21,5.5999994,,641.7674
6,2021.07.01,3be11280716d0d9da0876f1ab59ef81b,2,35,33,Струнино,2,53,354.69,147.38501,727.77203
7,2021.07.01,5a0301e0237f96a435191720853d10ee,16,25,33,Струнино,1,43,176.0675,70.682495,1052.7963
8,2021.07.01,a14ff2e615494f7e5bd5aef6ba35cb72,1,86,33,Струнино,2,46,323.715,173.61751,108.087456
9,2021.07.01,e712c92b1284077bbcfb14067cd0ee62,10,43,33,Струнино,1,28,576.45,368.2175,21724.598
10,2021.07.01,d6a8dbfe55882c68b3f8d78979d18f31,13,39,33,Струнино,2,41,290.535,128.2575,7966.669
11,2021.07.01,bb131920da923971818f82e8638c5037,7,77,33,Струнино,2,20,12.0225,3.2374997,23572.023
12,2021.07.01,6d67f7dee11fdf0a96714cdde712c991,7,29,33,Струнино,2,33,1228.7275,808.1325,6883.969
13,2021.07.01,af67dca3ee0a686000c9096b0211532c,1,29,33,Струнино,2,27,56.1575,33.249996,16814.506
14,2021.07.01,8e4f2de9bff5fe2326f59a41afa2aed5,14,29,33,Струнино,1,39,307.1425,248.27249,4288.1333
15,2021.07.01,8d794c5b77460e2c83a61ef5ccb66939,1,29,33,Струнино,2,23,2329.18,1793.7151,8624.559
16,2021.07.01,af886e8711499a80f5846d919d5001c6,7,22,33,Струнино,2,20,3.7974994,3.4474998,4744.504
17,2021.07.01,c1f3b18da91eec3bc1996af27c27dfa4,6,27,33,Струнино,2,46,692.965,253.68,3708.8748
18,2021.07.01,1d1406faecabb498e57a0e3c71cb3919,1,37,33,Струнино,1,49,6.5450006,,3.2197263
19,2021.07.01,ddc4d0f6a73f76bac1331bf9b39e7ac9,1,35,33,Струнино,2,30,74.2,35.717503,8157.2334
20,2021.07.01,876092c392a1d4e095148584cffd8705,6,77,33,Струнино,1,49,96.3725,86.2225,920.8695
21,2021.07.01,86bbeddae4c798be0b8aad56ccb869da,2,35,33,Струнино,1,35,82.53,,
22,2021.07.01,f383df98511a68c9194a634809e2d140,2,37,33,Струнино,1,35,67.8125,19.915,1536.2412
23,2021.07.01,716ade6d65ceabb1d0d1bd555ffa6e0c,12,51,33,Струнино,2,20,209.1075,45.780003,79434.12
24,2021.07.01,07a3aba456894aa0d300e258380d7e94,3,77,33,Струнино,1,31,109.4975,32.0425,30053.898
25,2021.07.01,57ccc57a2ee4b69f98e905e2055f1de1,2,35,33,Струнино,2,42,399.91,109.5675,23176.205
26,2021.07.01,7dc634639d3e676b7a62ccaf52cec3aa,10,35,33,Струнино,1,45,362.19748,166.5475,318.95905
27,2021.07.01,247fd9f730b1e4d0eb61e8cb5d263f61,1,29,33,Струнино,1,36,424.67252,220.9375,1008.203
28,2021.07.01,50ab1123a001c126db0e86986d500d32,12,76,33,Струнино,2,39,394.34497,152.775,8329.698
29,2021.07.01,8216b3cf6ca7fe5feb08b3d3c822c76b,13,77,33,Струнино,2,33,3.5524995,3.5524995,307.07886
30,2021.07.01,f098ad2c2582c60ac7edc9228ec9e5f1,4,89,33,Струнино,2,34,3062.6226,1578.0275,6295.955
31,2021.07.01,c1a064d5d2d74d0ece923e090731d17e,2,35,33,Струнино,3,44,819.105,364.1575,1745.261
32,2021.07.01,6c5e6311406e002e406ff367f6b6f155,1,29,33,Струнино,3,37,1384.1276,548.1175,3.1510258
33,2021.07.01,e1096d787c06d7ecf5ec168263a48423,9,69,33,Струнино,1,42,181.05501,60.0425,204.54594
34,2021.07.01,58d9bf00d5ae63581bfb97e7e2434bca,1,35,33,Струнино,3,54,47.67,32.094997,3.1510258
35,2021.07.01,c4536b43582296fff2c2a30e257aae22,3,78,33,Струнино,1,24,85.45251,16.397503,33634.67
36,2021.07.01,011a918f9bcf40f2c0c5f13883565acc,2,35,33,Струнино,2,47,425.81,111.597496,2285.4583
37,2021.07.01,f15f618076512162b4b3a3cded1302a5,1,29,33,Струнино,2,58,1021.0725,360.4125,3.1510258
38,2021.07.01,7b0d39dba54faf4b10cd7fa69d63df66,2,78,33,Струнино,2,28,492.135,315.57748,24909.3
39,2021.07.01,b3d4c87aef0e1e965ff7b4a26a5edbc9,1,29,33,Струнино,1,33,206.43001,97.6325,7888.3013
